pretrain_maxepoch;numhid;numpen;numpen2;finetuning_maxepoch;conjugate_gradient_max_iter;res
10;100;100;100;2;3;25.35
10;200;200;200;2;3;24.98
10;300;300;300;2;3;25.88
10;400;400;400;2;3;25.60
100;100;100;100;100;3;21.90
100;200;200;200;100;3;21.57
100;300;300;300;100;3;21.95
100;400;400;400;100;3;22.02
100;500;500;500;100;3;22.02
100;600;600;600;100;3;21.98
200;100;100;100;100;3;21.93
200;200;200;200;100;3;22.15
200;300;300;300;100;3;22.13
200;400;400;400;100;3;21.85
300;100;100;100;100;3;21.88
300;200;200;200;100;3;21.75
300;300;300;300;100;3;21.80
300;400;400;400;100;3;21.77
300;500;500;500;100;3;21.80
300;600;600;600;100;3;21.50
300;700;700;700;100;3;21.73
400;100;100;100;100;3;21.63
400;200;200;200;100;3;21.73
400;300;300;300;100;3;21.88
400;400;400;400;100;3;21.75
400;500;500;500;100;3;21.73
400;600;600;600;100;3;21.65
300;100;100;100;200;3;21.75
300;200;200;200;200;3;21.50
300;300;300;300;200;3;21.57
400;400;400;400;300;3;22.82
300;100;50;100;200;3;21.48
300;200;100;200;200;3;21.75
300;300;150;300;200;3;21.70
300;400;200;400;200;3;21.57
300;500;250;500;200;3;21.70
300;25;50;25;200;3;21.55
300;50;100;50;200;3;21.50
300;75;150;75;200;3;21.75
300;100;200;100;200;3;21.55
300;125;250;125;200;3;21.55
