Sigma;Gamma;Percentage
1;0.0010;49.4
1;0.0100;48.7
1;0.0250;50.1
1;0.0500;51.2
1;0.0750;50.5
1;0.1000;50.9
1;0.2500;50.9
1;0.5000;51.4
1;0.7500;51.3
1;1.0000;52.0
5;0.0010;49.6
5;0.0100;49.4
5;0.0250;50.3
5;0.0500;51.0
5;0.0750;50.6
5;0.1000;50.4
5;0.2500;51.4
5;0.5000;51.4
5;0.7500;51.2
5;1.0000;51.6
10;0.0010;49.1
10;0.0100;49.4
10;0.0250;50.1
10;0.0500;50.6
10;0.0750;50.1
10;0.1000;51.5
10;0.2500;51.7
10;0.5000;51.7
10;0.7500;51.5
10;1.0000;51.6
15;0.0010;49.2
15;0.0100;49.4
15;0.0250;50.1
15;0.0500;51.1
15;0.0750;50.8
15;0.1000;50.8
15;0.2500;51.5
15;0.5000;51.6
15;0.7500;51.1
15;1.0000;50.8
20;0.0010;49.1
20;0.0100;49.4
20;0.0250;49.9
20;0.0500;50.5
20;0.0750;50.7
20;0.1000;50.8
20;0.2500;51.6
20;0.5000;51.5
20;0.7500;51.7
20;1.0000;51.8
25;0.0010;49.2
25;0.0100;49.8
25;0.0250;50.0
25;0.0500;50.4
25;0.0750;50.9
25;0.1000;51.2
25;0.2500;51.9
25;0.5000;51.7
25;0.7500;51.5
25;1.0000;52.2
30;0.0010;48.9
30;0.0100;49.9
30;0.0250;50.0
30;0.0500;51.1
30;0.0750;50.9
30;0.1000;51.0
30;0.2500;51.3
30;0.5000;51.4
30;0.7500;52.1
30;1.0000;51.9
35;0.0010;49.5
35;0.0100;49.7
35;0.0250;50.7
35;0.0500;51.2
35;0.0750;50.9
35;0.1000;51.2
35;0.2500;51.2
35;0.5000;51.4
35;0.7500;52.1
35;1.0000;51.7
40;0.0010;49.7
40;0.0100;49.3
40;0.0250;50.1
40;0.0500;50.5
40;0.0750;50.5
40;0.1000;50.6
40;0.2500;51.7
40;0.5000;51.6
40;0.7500;51.2
40;1.0000;52.5
45;0.0010;49.0
45;0.0100;49.4
45;0.0250;50.2
45;0.0500;51.4
45;0.0750;51.5
45;0.1000;50.8
45;0.2500;51.5
45;0.5000;51.1
45;0.7500;51.6
45;1.0000;51.8
50;0.0010;49.6
50;0.0100;50.0
50;0.0250;49.9
50;0.0500;50.6
50;0.0750;50.2
50;0.1000;50.9
50;0.2500;51.9
50;0.5000;51.4
50;0.7500;51.4
50;1.0000;52.0
55;0.0010;49.2
55;0.0100;49.3
55;0.0250;49.9
55;0.0500;50.4
55;0.0750;50.8
55;0.1000;51.0
55;0.2500;51.1
55;0.5000;51.7
55;0.7500;51.4
55;1.0000;51.6
60;0.0010;49.0
60;0.0100;49.4
60;0.0250;50.0
60;0.0500;51.0
60;0.0750;51.0
60;0.1000;50.9
60;0.2500;51.2
60;0.5000;52.0
60;0.7500;51.8
60;1.0000;51.8
65;0.0010;49.7
65;0.0100;49.7
65;0.0250;50.0
65;0.0500;50.9
65;0.0750;51.3
65;0.1000;50.8
65;0.2500;51.4
65;0.5000;51.4
65;0.7500;51.5
65;1.0000;51.7
70;0.0010;49.1
70;0.0100;49.7
70;0.0250;50.2
70;0.0500;50.4
70;0.0750;50.4
70;0.1000;50.8
70;0.2500;51.5
70;0.5000;52.1
70;0.7500;51.8
70;1.0000;51.6
75;0.0010;49.0
75;0.0100;49.3
75;0.0250;49.9
75;0.0500;50.9
75;0.0750;50.9
75;0.1000;51.1
75;0.2500;51.9
75;0.5000;51.6
75;0.7500;51.5
75;1.0000;51.8
80;0.0010;49.2
80;0.0100;49.0
80;0.0250;50.1
80;0.0500;51.2
80;0.0750;50.8
80;0.1000;51.4
80;0.2500;51.7
80;0.5000;51.6
80;0.7500;51.1
80;1.0000;51.9
85;0.0010;48.9
85;0.0100;49.6
85;0.0250;50.2
85;0.0500;51.2
85;0.0750;50.5
85;0.1000;50.9
85;0.2500;52.0
85;0.5000;52.1
85;0.7500;51.7
85;1.0000;51.9
90;0.0010;49.4
90;0.0100;50.0
90;0.0250;50.2
90;0.0500;51.0
90;0.0750;50.4
90;0.1000;50.7
90;0.2500;51.3
90;0.5000;51.9
90;0.7500;51.7
90;1.0000;51.7
95;0.0010;49.4
95;0.0100;49.5
95;0.0250;50.2
95;0.0500;50.7
95;0.0750;51.2
95;0.1000;50.7
95;0.2500;51.5
95;0.5000;51.6
95;0.7500;51.2
95;1.0000;51.5
100;0.0010;49.4
100;0.0100;49.7
100;0.0250;50.1
100;0.0500;50.8
100;0.0750;50.8
100;0.1000;50.6
100;0.2500;51.4
100;0.5000;51.5
100;0.7500;51.6
100;1.0000;51.9
